response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Ulster/Dutchess,85 percent or higher,Cell,1,0.9228,0.7723,0.3698,0.7763,2018-11-01 20:16:18
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,Rensselaer/Columbia,50 to 85 percent,Cell,1,0.8024,1.2586,0.7878,1.2762,2018-11-01 20:18:06
4,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rensselaer/Columbia,50 to 85 percent,Cell,0.8889,0.6214,1.2444,1.3562,1.2156,2018-11-01 20:18:15
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.9352,1.1772,0.623,1.17,2018-11-01 20:22:18
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Ulster/Dutchess,50 to 85 percent,Cell,1,0.8454,0.9736,0.5311,0.9798,2018-11-01 20:25:27
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.9417,0.6579,0.3819,0.6534,2018-11-01 20:27:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8264,1.0122,0.5933,1.0219,2018-11-01 20:45:27
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Ulster/Dutchess,Less than 50 percent,Cell,0.4444,0.3817,0.9045,1.1625,0.5664,2018-11-01 21:17:08
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rensselaer/Columbia,85 percent or higher,Cell,1,0.8721,0.5559,0.3247,0.5571,2018-11-01 21:17:08
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Ulster/Dutchess,85 percent or higher,Cell,1,0.8835,0.6579,0.4068,0.6582,2018-11-01 21:18:47
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Ulster/Dutchess,50 to 85 percent,Cell,1,0.8387,0.6095,0.4305,0.6141,2018-11-01 21:20:17
