response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Montgomery,50 to 85 percent,Cell,1,0.6319,0.889,1.0717,0.9015
Rep,18 to 34,Bachelors' degree,Other,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,18 to 34,Non-White,Lower Bucks,50 to 85 percent,Cell,1,0.6595,1.2039,1.1118,1.2158
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Lower Bucks,50 to 85 percent,Landline,1,0.5937,0.6707,0.4196,0.7216
Dem,50 to 64,High school,White,Male,Asian,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),Nonwhite,50 to 64,White,Middle/Upper Bucks,Less than 50 percent,Cell,0.4444,0.4747,2.4261,4.4239,1.5987
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Landline,1,0.97,0.7263,0.4317,0.7264
Dem,18 to 34,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,Unknown,Montgomery,85 percent or higher,Cell,1,0.9275,1.0111,0.7702,1.0151
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9431,0.794,0.5077,0.8021
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Middle/Upper Bucks,50 to 85 percent,Landline,1,0.7608,1.0633,0.8283,1.097
Rep,50 to 64,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Non-White,Middle/Upper Bucks,50 to 85 percent,Landline,1,0.7898,0.8435,0.6215,0.8652
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",35 to 49,White,Middle/Upper Bucks,85 percent or higher,Landline,1,0.97,0.9852,0.6283,0.9904
