response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,40 to 64,Unknown,North,85 percent or higher,Cell,1,0.9322,0.6816,0.4311,0.6844,2018-10-16 19:51:02
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,Unknown,South,Less than 50 percent,Cell,0.6667,0.3607,1.1635,3.3173,0.8705,2018-10-16 20:07:53
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9434,0.8354,0.4248,0.8489,2018-10-16 20:18:04
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.9414,0.6546,0.2898,0.6654,2018-10-16 20:22:52
Dem,18 to 34,Bachelors' degree,White,Male,Other,Approve,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,White,South,50 to 85 percent,Cell,1,0.666,1.1659,0.9738,1.2465,2018-10-16 20:29:37
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,North,50 to 85 percent,Cell,1,0.6547,0.7252,0.4761,0.7776,2018-10-16 20:30:31
Dem,65 and older,Graduate or Professional Degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Black,North,85 percent or higher,Cell,1,0.9385,0.77,0.3574,0.7828,2018-10-16 20:40:09
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,North,50 to 85 percent,Cell,1,0.5017,0.9129,0.7161,1.0274,2018-10-16 20:46:27
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Charlottesville,85 percent or higher,Cell,1,0.8651,0.8707,0.5998,0.8939,2018-10-16 20:53:53
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,North,85 percent or higher,Cell,1,0.9053,1.0845,0.8441,1.1069,2018-10-16 20:58:05
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",40 to 64,White,South,85 percent or higher,Cell,1,0.8822,1.0872,0.6527,1.0917,2018-10-16 20:58:32
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.8994,0.7682,0.4323,0.7101,2018-10-16 21:05:08
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,South,85 percent or higher,Cell,1,0.9281,0.691,0.3828,0.7033,2018-10-16 21:06:20
Und,35 to 49,High school,Black,Male,White,Approve,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,Black,South,Less than 50 percent,Cell,0,0.2809,1.2675,3.7182,0.3082,2018-10-16 21:08:53
Rep,65 and older,Some college or trade school,Black,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Black,South,50 to 85 percent,Cell,1,0.6217,0.8042,0.5694,0.8283,2018-10-16 21:13:14
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.8887,0.7682,0.4374,0.7859,2018-10-16 21:14:08
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9179,0.983,0.4888,1.0018,2018-10-16 21:23:29
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Charlottesville,85 percent or higher,Cell,1,0.9328,0.9142,0.409,0.9301,2018-10-16 21:34:41
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Charlottesville,50 to 85 percent,Cell,1,0.7084,0.8056,0.4494,0.8524,2018-10-16 21:35:17
Dem,65 and older,Grade school,Black,Male,Black,Disapp.,Dems. take House,Unfavorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Black,South,85 percent or higher,Landline,1,0.8717,1.5889,1.237,1.6295,2018-10-16 21:48:59
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,North,85 percent or higher,Landline,1,0.9456,0.8787,0.4329,0.8927,2018-10-16 21:51:23
Dem,65 and older,Some college or trade school,Black,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,65 and older,Black,Charlottesville,Less than 50 percent,Landline,0.8889,0.127,0.9251,2.9361,1.128,2018-10-16 21:52:35
